time,open,high,low,close,volume,ticker
2020-05-20,3150,3150,2940,2940,250,SGT
2020-05-21,3060,3060,2890,2890,390,SGT
2020-05-22,2890,3090,2890,3080,320,SGT
2020-05-25,3080,3080,3070,3080,1190,SGT
2020-05-26,3030,3030,2900,2900,3230,SGT
2020-05-27,3030,3030,2830,2830,340,SGT
2020-05-28,2960,2960,2960,2960,280,SGT
2020-05-29,2960,2960,2820,2860,2280,SGT
2020-06-01,2950,3060,2950,3060,34160,SGT
2020-06-02,3130,3130,2900,3100,4280,SGT
2020-06-03,3100,3100,2930,2930,2800,SGT
2020-06-04,3000,3130,3000,3130,5500,SGT
2020-06-05,3330,3340,3330,3340,19800,SGT
2020-06-08,3570,3570,3570,3570,14980,SGT
2020-06-09,3820,3820,3620,3820,9240,SGT
2020-06-10,4080,4080,4080,4080,3160,SGT
2020-06-11,4360,4360,4360,4360,16500,SGT
2020-06-12,4360,4610,4059,4360,65340,SGT
2020-06-15,4360,4660,4360,4660,45040,SGT
2020-06-16,4660,4820,4660,4680,4780,SGT
2020-06-17,4680,4680,4480,4590,110,SGT
2020-06-18,4280,4550,4280,4280,54530,SGT
2020-06-19,3980,4059,3980,4059,7340,SGT
2020-06-22,4130,4130,4059,4130,2160,SGT
2020-06-23,4200,4270,4200,4270,3100,SGT
2020-06-24,4130,4130,3980,3980,48680,SGT
2020-06-25,3720,3980,3720,3980,1010,SGT
2020-06-26,3730,3980,3730,3980,19260,SGT
2020-06-29,3980,4250,3710,3710,3260,SGT
2020-06-30,3960,3960,3450,3940,2850,SGT
2020-07-01,3930,4200,3930,4200,1190,SGT
2020-07-02,4130,4130,3910,3910,1120,SGT
2020-07-03,4130,4130,3690,3690,30,SGT
2020-07-06,3690,3940,3580,3930,250,SGT
2020-07-07,3660,4130,3660,3680,1320,SGT
2020-07-08,3680,3680,3680,3680,0,SGT
2020-07-09,3680,3680,3680,3680,50,SGT
2020-07-10,3920,3930,3680,3680,6530,SGT
2020-07-13,3460,3460,3460,3460,10,SGT
2020-07-14,3700,3700,3700,3700,50,SGT
2020-07-15,3950,3950,3820,3820,44790,SGT
2020-07-16,3820,4059,3720,4059,2920,SGT
2020-07-17,4059,4059,3790,3790,1400,SGT
2020-07-20,3790,4030,3790,4030,230,SGT
2020-07-21,3990,3990,3990,3990,5000,SGT
2020-07-22,3990,3990,3990,3990,0,SGT
2020-07-23,3990,3990,3990,3990,0,SGT
2020-07-24,3730,3990,3720,3990,30650,SGT
2020-07-27,3960,3960,3720,3950,33720,SGT
2020-07-28,3950,3950,3950,3950,0,SGT
2020-07-29,3680,3680,3680,3680,2450,SGT
2020-07-30,3680,3680,3680,3680,0,SGT
2020-07-31,3440,3680,3430,3680,660,SGT
2020-08-03,3680,3680,3680,3680,0,SGT
2020-08-04,3680,3680,3680,3680,30,SGT
2020-08-05,3440,3440,3420,3420,70,SGT
2020-08-06,3640,3640,3640,3640,10,SGT
2020-08-07,3390,3880,3390,3880,1010,SGT
2020-08-10,3880,3880,3620,3880,1620,SGT
2020-08-11,3790,3790,3790,3790,6260,SGT
2020-08-12,3660,3790,3530,3790,1590,SGT
2020-08-13,3780,4040,3780,4040,2000,SGT
2020-08-14,4040,4040,3760,3950,7010,SGT
2020-08-17,3670,3670,3670,3670,300,SGT
2020-08-18,3650,3650,3430,3430,420,SGT
2020-08-19,3240,3240,3240,3240,210,SGT
2020-08-20,3310,3310,3310,3310,10,SGT
2020-08-21,3310,3510,3310,3510,210,SGT
2020-08-24,3510,3650,3440,3650,1440,SGT
2020-08-25,3640,3650,3640,3650,20300,SGT
2020-08-26,3650,3790,3650,3790,10230,SGT
2020-08-27,3790,3790,3790,3790,160,SGT
2020-08-28,3530,3530,3530,3530,10,SGT
2020-08-31,3370,3770,3370,3770,250,SGT
2020-09-01,3790,3990,3530,3990,1980,SGT
2020-09-03,3990,3990,3990,3990,3460,SGT
2020-09-04,3720,3720,3720,3720,1250,SGT
2020-09-07,3720,3720,3720,3720,2000,SGT
2020-09-08,3580,3580,3550,3550,4000,SGT
2020-09-09,3790,3790,3790,3790,10,SGT
2020-09-10,3790,3790,3790,3790,11080,SGT
2020-09-11,3710,3790,3580,3790,29900,SGT
2020-09-14,3790,4050,3550,3580,41120,SGT
2020-09-15,3590,3830,3580,3830,9510,SGT
2020-09-16,3650,4059,3650,4059,540,SGT
2020-09-17,4050,4059,4050,4059,1020,SGT
2020-09-18,4030,4030,3770,3930,7560,SGT
2020-09-21,3660,3660,3660,3660,20,SGT
2020-09-22,3660,3910,3590,3590,550,SGT
2020-09-23,3600,3840,3600,3840,110,SGT
2020-09-24,3720,3720,3720,3720,500,SGT
2020-09-25,3650,3860,3650,3860,60,SGT
2020-09-28,3610,3840,3600,3840,2060,SGT
2020-09-29,3580,3820,3580,3820,10160,SGT
2020-09-30,3820,3820,3820,3820,80,SGT
2020-10-01,3570,3590,3570,3590,5320,SGT
2020-10-02,3580,3720,3580,3690,1360,SGT
2020-10-05,3470,3690,3470,3690,6160,SGT
2020-10-06,3690,3790,3580,3790,12020,SGT
2020-10-07,3790,3860,3720,3860,1620,SGT
2020-10-08,3850,3850,3650,3650,4890,SGT
2020-10-09,3900,3900,3660,3840,710,SGT
2020-10-12,3650,3900,3650,3900,3020,SGT
2020-10-13,3680,3870,3680,3870,4340,SGT
2020-10-14,3870,3870,3870,3870,0,SGT
2020-10-15,3870,3870,3870,3870,0,SGT
2020-10-16,3840,3840,3720,3720,50,SGT
2020-10-19,3850,3850,3770,3770,368360,SGT
2020-10-20,3790,4030,3790,4030,6880,SGT
2020-10-21,4300,4300,4130,4300,37370,SGT
2020-10-22,4600,4600,4340,4350,4900,SGT
2020-10-23,4040,4480,4040,4040,11420,SGT
2020-10-26,4040,4040,3760,3760,2280,SGT
2020-10-27,3760,3760,3580,3750,9420,SGT
2020-10-28,3500,3750,3500,3750,8590,SGT
2020-10-29,3510,3750,3510,3750,1000,SGT
2020-10-30,3740,3740,3510,3730,600,SGT
2020-11-02,3760,3760,3720,3720,30,SGT
2020-11-03,3700,3790,3660,3790,3070,SGT
2020-11-04,3650,3890,3650,3890,17810,SGT
2020-11-05,3990,3990,3990,3990,10,SGT
2020-11-06,3990,4019,3990,3990,9190,SGT
2020-11-09,3720,4010,3720,4010,210,SGT
2020-11-10,3740,4019,3740,4019,1670,SGT
2020-11-11,4019,4019,4010,4010,120,SGT
2020-11-12,4059,4059,4059,4059,10,SGT
2020-11-13,3780,4050,3780,4050,180,SGT
2020-11-16,4050,4050,4050,4050,0,SGT
2020-11-17,4030,4130,4030,4130,130,SGT
2020-11-18,3840,3840,3840,3840,230,SGT
2020-11-19,3860,3860,3580,3860,16250,SGT
2020-11-20,3990,4059,3590,4059,1350,SGT
