time,open,high,low,close,volume,ticker
2020-03-13,2700,2840,2700,2700,148230,ELC
2020-03-16,2700,2720,2530,2640,141250,ELC
2020-03-17,2640,2690,2580,2690,70370,ELC
2020-03-18,2750,2840,2700,2770,16700,ELC
2020-03-19,2690,2780,2690,2690,33400,ELC
2020-03-20,2770,2780,2690,2690,53700,ELC
2020-03-23,2690,2690,2510,2510,133290,ELC
2020-03-24,2510,2530,2360,2510,32640,ELC
2020-03-25,2510,2690,2510,2690,91340,ELC
2020-03-26,2690,2690,2510,2610,31170,ELC
2020-03-27,2460,2630,2460,2630,14070,ELC
2020-03-30,2440,2510,2440,2440,71410,ELC
2020-03-31,2570,2570,2280,2440,49240,ELC
2020-04-01,2510,2510,2440,2440,7600,ELC
2020-04-03,2440,2570,2440,2570,18270,ELC
2020-04-06,2570,2610,2440,2540,95010,ELC
2020-04-07,2540,2600,2460,2570,30720,ELC
2020-04-08,2610,2660,2470,2660,24290,ELC
2020-04-09,2750,2750,2690,2720,9370,ELC
2020-04-10,2720,2740,2660,2670,9770,ELC
2020-04-13,2670,2690,2640,2640,15030,ELC
2020-04-14,2640,2750,2640,2640,10670,ELC
2020-04-15,2640,2740,2640,2740,45670,ELC
2020-04-16,2700,2760,2700,2750,28360,ELC
2020-04-17,2760,2890,2750,2860,47060,ELC
2020-04-20,2960,3060,2960,3060,73180,ELC
2020-04-21,3060,3210,3060,3130,132010,ELC
2020-04-22,3130,3130,2910,3050,50570,ELC
2020-04-23,3100,3100,3060,3070,21550,ELC
2020-04-24,3020,3070,3020,3030,16500,ELC
2020-04-27,3030,3090,3030,3040,27680,ELC
2020-04-28,3100,3100,2990,3040,44100,ELC
2020-04-29,3080,3090,2960,3080,17410,ELC
2020-05-04,3100,3210,3070,3100,81630,ELC
2020-05-05,3250,3250,3020,3020,14480,ELC
2020-05-06,2840,3210,2840,2940,26940,ELC
2020-05-07,2990,2990,2890,2960,42960,ELC
2020-05-08,2990,3100,2960,2990,40530,ELC
2020-05-11,3160,3160,2960,3160,30420,ELC
2020-05-12,3160,3250,3160,3190,65400,ELC
2020-05-13,3170,3170,3070,3140,33910,ELC
2020-05-14,3140,3190,3100,3100,8050,ELC
2020-05-15,3220,3220,2930,3090,14170,ELC
2020-05-18,3040,3120,3040,3110,22100,ELC
2020-05-19,3100,3130,3080,3130,35220,ELC
2020-05-20,3130,3130,3060,3060,52970,ELC
2020-05-21,3060,3100,3060,3100,55870,ELC
2020-05-22,3070,3080,3050,3070,14780,ELC
2020-05-25,3060,3090,3060,3090,69020,ELC
2020-05-26,3090,3190,3060,3160,83580,ELC
2020-05-27,3160,3160,3070,3120,39050,ELC
2020-05-28,3090,3090,3080,3090,26980,ELC
2020-05-29,3090,3090,3040,3090,22740,ELC
2020-06-01,3070,3070,2930,3060,55610,ELC
2020-06-02,3060,3060,3030,3060,62000,ELC
2020-06-03,3070,3070,3040,3040,30440,ELC
2020-06-04,3060,3060,3040,3050,69850,ELC
2020-06-05,3050,3100,3030,3060,94170,ELC
2020-06-08,3090,3280,3080,3280,282810,ELC
2020-06-09,3310,3480,3310,3450,407640,ELC
2020-06-10,3450,3510,3430,3490,169970,ELC
2020-06-11,3510,3730,3510,3510,494230,ELC
2020-06-12,3390,3710,3310,3710,244470,ELC
2020-06-15,3760,3760,3600,3600,425340,ELC
2020-06-16,3670,3670,3520,3600,107480,ELC
2020-06-17,3600,3600,3390,3480,66380,ELC
2020-06-18,3410,3440,3240,3360,201650,ELC
2020-06-19,3310,3340,3250,3340,193160,ELC
2020-06-22,3340,3550,3340,3440,130650,ELC
2020-06-23,3440,3540,3410,3430,196890,ELC
2020-06-24,3410,3480,3390,3440,147600,ELC
2020-06-25,3290,3480,3290,3420,85140,ELC
2020-06-26,3440,3440,3380,3420,80860,ELC
2020-06-29,3310,3410,3300,3350,148520,ELC
2020-06-30,3350,3380,3340,3350,132300,ELC
2020-07-01,3350,3450,3320,3440,184620,ELC
2020-07-02,3390,3410,3360,3410,23370,ELC
2020-07-03,3410,3510,3410,3430,61560,ELC
2020-07-06,3430,3430,3340,3370,41690,ELC
2020-07-07,3370,3390,3370,3390,76420,ELC
2020-07-08,3360,3380,3320,3320,43220,ELC
2020-07-09,3290,3420,3290,3340,71490,ELC
2020-07-10,3340,3350,3220,3340,41510,ELC
2020-07-13,3340,3340,3280,3320,21100,ELC
2020-07-14,3290,3350,3290,3310,143110,ELC
2020-07-15,3310,3330,3300,3310,177000,ELC
2020-07-16,3310,3320,3290,3310,68440,ELC
2020-07-17,3250,3330,3250,3310,70170,ELC
2020-07-20,3300,3300,3220,3240,88670,ELC
2020-07-21,3190,3240,3160,3160,81680,ELC
2020-07-22,3160,3160,3130,3160,20590,ELC
2020-07-23,3060,3130,3060,3090,46140,ELC
2020-07-24,3090,3090,2870,2960,110890,ELC
2020-07-27,2750,2760,2750,2750,138940,ELC
2020-07-28,2750,2800,2640,2800,85350,ELC
2020-07-29,2780,2780,2610,2640,79220,ELC
2020-07-30,2640,2690,2640,2690,134540,ELC
2020-07-31,2690,2880,2690,2880,127940,ELC
2020-08-03,3070,3080,2890,3040,90930,ELC
2020-08-04,2950,3010,2950,3010,88200,ELC
2020-08-05,3010,3010,2930,2980,116830,ELC
2020-08-06,2940,2990,2930,2970,71600,ELC
2020-08-07,2930,3160,2930,3100,190310,ELC
2020-08-10,3100,3100,3040,3070,62070,ELC
2020-08-11,3060,3080,3060,3060,99890,ELC
2020-08-12,3060,3060,2930,3040,50720,ELC
2020-08-13,3040,3040,2990,3040,45230,ELC
2020-08-14,3040,3240,3030,3130,252600,ELC
2020-08-17,3140,3310,3140,3290,318140,ELC
2020-08-18,3290,3480,3280,3480,262560,ELC
2020-08-19,3600,3620,3510,3540,401740,ELC
2020-08-20,3500,3500,3360,3420,233650,ELC
2020-08-21,3420,3480,3390,3410,123820,ELC
2020-08-24,3410,3540,3410,3470,190280,ELC
2020-08-25,3510,3510,3430,3430,199680,ELC
2020-08-26,3410,3450,3390,3390,93730,ELC
2020-08-27,3450,3630,3410,3630,963510,ELC
2020-08-28,3880,3880,3860,3880,1063620,ELC
